Date,NO,SE
2016-01-24,56990.0,18956.0
2016-01-25,55266.0,17939.0
2016-01-26,55266.0,17939.0
2016-01-27,55266.0,17939.0
2016-01-28,55266.0,17939.0
2016-01-29,55266.0,17939.0
2016-01-30,55266.0,17939.0
2016-01-31,55266.0,17939.0
2016-02-01,52814.0,16813.0
2016-02-02,52814.0,16813.0
2016-02-03,52814.0,16813.0
2016-02-04,52814.0,16813.0
2016-02-05,52814.0,16813.0
2016-02-06,52814.0,16813.0
2016-02-07,52814.0,16813.0
2016-02-08,50239.0,15513.0
2016-02-09,50239.0,15513.0
2016-02-10,50239.0,15513.0
2016-02-11,50239.0,15513.0
2016-02-12,50239.0,15513.0
2016-02-13,50239.0,15513.0
2016-02-14,50239.0,15513.0
2016-02-15,47424.0,14183.0
2016-02-16,47424.0,14183.0
2016-02-17,47424.0,14183.0
2016-02-18,47424.0,14183.0
2016-02-19,47424.0,14183.0
2016-02-20,47424.0,14183.0
2016-02-21,47424.0,14183.0
2016-02-22,44505.0,12875.0
2016-02-23,44505.0,12875.0
2016-02-24,44505.0,12875.0
2016-02-25,44505.0,12875.0
2016-02-26,44505.0,12875.0
2016-02-27,44505.0,12875.0
2016-02-28,44505.0,12875.0
2016-02-29,41456.0,11665.0
2016-03-01,41456.0,11665.0
2016-03-02,41456.0,11665.0
2016-03-03,41456.0,11665.0
2016-03-04,41456.0,11665.0
2016-03-05,41456.0,11665.0
2016-03-06,41456.0,11665.0
2016-03-07,39364.0,10836.0
2016-03-08,39364.0,10836.0
2016-03-09,39364.0,10836.0
2016-03-10,39364.0,10836.0
2016-03-11,39364.0,10836.0
2016-03-12,39364.0,10836.0
2016-03-13,39364.0,10836.0
2016-03-14,37478.0,10001.0
2016-03-15,37478.0,10001.0
2016-03-16,37478.0,10001.0
2016-03-17,37478.0,10001.0
2016-03-18,37478.0,10001.0
2016-03-19,37478.0,10001.0
2016-03-20,37478.0,10001.0
2016-03-21,35976.0,9326.0
2016-03-22,35976.0,9326.0
2016-03-23,35976.0,9326.0
2016-03-24,35976.0,9326.0
2016-03-25,35976.0,9326.0
2016-03-26,35976.0,9326.0
2016-03-27,35976.0,9326.0
2016-03-28,34504.0,8976.0
2016-03-29,34504.0,8976.0
2016-03-30,34504.0,8976.0
