Date,Hour,System Price
28-01-2014,1,31.03
28-01-2014,2,30.26
28-01-2014,3,29.57
28-01-2014,4,30.46
28-01-2014,5,31.84
28-01-2014,6,33.72
28-01-2014,7,37.57
28-01-2014,8,38.3
28-01-2014,9,36.81
28-01-2014,10,35.9
28-01-2014,11,34.94
28-01-2014,12,34.63
28-01-2014,13,34.58
28-01-2014,14,34.66
28-01-2014,15,34.87
28-01-2014,16,35.9
28-01-2014,17,37.51
28-01-2014,18,34.96
28-01-2014,19,34.16
28-01-2014,20,33.47
28-01-2014,21,33.03
28-01-2014,22,32.27
28-01-2014,23,31.25
29-01-2014,0,31.09
29-01-2014,1,30.5
29-01-2014,2,29.58
29-01-2014,3,28.98
29-01-2014,4,30.18
29-01-2014,5,31.9
29-01-2014,6,33.83
29-01-2014,7,38.09
29-01-2014,8,39.88
29-01-2014,9,38.35
29-01-2014,10,36.97
29-01-2014,11,36.4
29-01-2014,12,34.99
29-01-2014,13,34.56
29-01-2014,14,34.98
29-01-2014,15,35.53
29-01-2014,16,37.19
29-01-2014,17,39.73
29-01-2014,18,37.03
29-01-2014,19,35.32
29-01-2014,20,34.17
29-01-2014,21,33.33
29-01-2014,22,32.73
29-01-2014,23,31.51
30-01-2014,0,31.06
30-01-2014,1,30.42
30-01-2014,2,29.68
30-01-2014,3,29.84
30-01-2014,4,30.89
30-01-2014,5,32.23
30-01-2014,6,34.02
30-01-2014,7,39.44
30-01-2014,8,41.74
30-01-2014,9,38.85
30-01-2014,10,37.84
30-01-2014,11,37.9
30-01-2014,12,37.35
30-01-2014,13,36.46
30-01-2014,14,37.33
30-01-2014,15,36.99
30-01-2014,16,39.44
30-01-2014,17,51.59
30-01-2014,18,38.87
30-01-2014,19,36.43
30-01-2014,20,34.43
30-01-2014,21,33.9
30-01-2014,22,33.08
30-01-2014,23,32.53
31-01-2014,0,32.22
31-01-2014,1,31.62
31-01-2014,2,31.09
31-01-2014,3,31.25
31-01-2014,4,32.19
31-01-2014,5,32.7
31-01-2014,6,34.67
31-01-2014,7,43.09
31-01-2014,8,47.79
31-01-2014,9,46.92
31-01-2014,10,40.46
31-01-2014,11,39.38
31-01-2014,12,39.83
31-01-2014,13,37.45
31-01-2014,14,38.0
31-01-2014,15,36.92
31-01-2014,16,39.55
31-01-2014,17,47.38
31-01-2014,18,40.66
31-01-2014,19,35.48
31-01-2014,20,34.18
31-01-2014,21,33.78
31-01-2014,22,32.99
31-01-2014,23,31.99
01-02-2014,0,31.21
01-02-2014,1,30.25
01-02-2014,2,29.34
01-02-2014,3,28.89
01-02-2014,4,28.87
01-02-2014,5,29.5
01-02-2014,6,29.79
01-02-2014,7,30.4
01-02-2014,8,31.06
01-02-2014,9,31.36
01-02-2014,10,31.56
01-02-2014,11,31.79
01-02-2014,12,31.58
01-02-2014,13,31.39
01-02-2014,14,31.43
01-02-2014,15,32.02
01-02-2014,16,32.45
01-02-2014,17,33.1
01-02-2014,18,32.87
01-02-2014,19,32.33
01-02-2014,20,31.64
01-02-2014,21,31.81
01-02-2014,22,31.45
01-02-2014,23,30.31
02-02-2014,0,29.57
02-02-2014,1,28.91
02-02-2014,2,27.66
02-02-2014,3,26.65
02-02-2014,4,27.11
02-02-2014,5,27.54
02-02-2014,6,27.45
02-02-2014,7,28.12
02-02-2014,8,28.74
02-02-2014,9,30.53
02-02-2014,10,31.33
02-02-2014,11,31.6
02-02-2014,12,31.56
02-02-2014,13,31.13
02-02-2014,14,30.93
02-02-2014,15,31.31
02-02-2014,16,32.25
02-02-2014,17,32.9
02-02-2014,18,32.88
02-02-2014,19,32.51
02-02-2014,20,31.95
02-02-2014,21,31.81
02-02-2014,22,31.62
02-02-2014,23,30.5
03-02-2014,0,30.26
03-02-2014,1,30.14
03-02-2014,2,29.97
03-02-2014,3,30.36
03-02-2014,4,30.81
03-02-2014,5,31.85
03-02-2014,6,33.02
03-02-2014,7,35.38
03-02-2014,8,40.12
03-02-2014,9,36.55
03-02-2014,10,36.37
03-02-2014,11,34.89
03-02-2014,12,34.13
03-02-2014,13,33.97
03-02-2014,14,34.04
03-02-2014,15,33.98
03-02-2014,16,34.51
03-02-2014,17,34.93
03-02-2014,18,33.92
03-02-2014,19,33.0
03-02-2014,20,32.41
03-02-2014,21,32.0
03-02-2014,22,31.3
03-02-2014,23,29.87
04-02-2014,0,29.55
04-02-2014,1,29.39
04-02-2014,2,28.36
04-02-2014,3,28.8
04-02-2014,4,29.99
04-02-2014,5,30.98
04-02-2014,6,31.93
04-02-2014,7,33.49
04-02-2014,8,33.72
04-02-2014,9,33.55
04-02-2014,10,33.75
04-02-2014,11,33.64
04-02-2014,12,33.42
04-02-2014,13,33.5
04-02-2014,14,33.47
04-02-2014,15,33.31
04-02-2014,16,33.74
04-02-2014,17,37.68
04-02-2014,18,34.82
04-02-2014,19,33.27
04-02-2014,20,32.57
04-02-2014,21,32.04
04-02-2014,22,31.58
04-02-2014,23,31.31
05-02-2014,0,30.51
05-02-2014,1,29.95
05-02-2014,2,28.95
05-02-2014,3,27.5
05-02-2014,4,28.31
05-02-2014,5,30.47
05-02-2014,6,32.14
05-02-2014,7,34.32
05-02-2014,8,34.5
05-02-2014,9,33.93
05-02-2014,10,33.19
05-02-2014,11,32.77
05-02-2014,12,32.73
05-02-2014,13,32.75
05-02-2014,14,32.53
05-02-2014,15,32.57
05-02-2014,16,33.07
05-02-2014,17,33.99
05-02-2014,18,33.45
05-02-2014,19,32.61
05-02-2014,20,32.01
05-02-2014,21,31.47
05-02-2014,22,31.06
05-02-2014,23,29.6
06-02-2014,0,28.23
06-02-2014,1,27.76
06-02-2014,2,27.69
06-02-2014,3,27.76
06-02-2014,4,28.68
06-02-2014,5,30.24
06-02-2014,6,32.01
06-02-2014,7,33.41
06-02-2014,8,33.62
06-02-2014,9,33.38
06-02-2014,10,33.01
06-02-2014,11,32.49
06-02-2014,12,32.06
06-02-2014,13,32.13
06-02-2014,14,32.41
06-02-2014,15,32.72
06-02-2014,16,33.15
06-02-2014,17,34.21
06-02-2014,18,33.36
06-02-2014,19,32.73
06-02-2014,20,32.2
06-02-2014,21,31.57
06-02-2014,22,30.8
06-02-2014,23,28.46
07-02-2014,0,27.12
07-02-2014,1,26.78
07-02-2014,2,26.28
07-02-2014,3,26.74
07-02-2014,4,27.45
07-02-2014,5,28.84
07-02-2014,6,31.21
07-02-2014,7,32.57
07-02-2014,8,32.74
07-02-2014,9,32.65
07-02-2014,10,32.49
07-02-2014,11,32.15
07-02-2014,12,31.96
07-02-2014,13,31.43
07-02-2014,14,31.29
07-02-2014,15,31.51
07-02-2014,16,31.72
07-02-2014,17,32.65
07-02-2014,18,32.46
07-02-2014,19,32.06
07-02-2014,20,31.18
07-02-2014,21,30.01
07-02-2014,22,28.99
07-02-2014,23,27.57
08-02-2014,0,28.3
08-02-2014,1,27.97
08-02-2014,2,27.72
08-02-2014,3,26.63
08-02-2014,4,26.79
08-02-2014,5,26.72
08-02-2014,6,27.49
08-02-2014,7,28.58
08-02-2014,8,29.69
08-02-2014,9,29.69
08-02-2014,10,29.25
08-02-2014,11,29.13
08-02-2014,12,29.04
08-02-2014,13,28.73
08-02-2014,14,28.62
08-02-2014,15,29.16
08-02-2014,16,29.74
08-02-2014,17,31.4
08-02-2014,18,31.49
08-02-2014,19,31.09
08-02-2014,20,29.53
08-02-2014,21,28.83
08-02-2014,22,28.79
08-02-2014,23,27.71
09-02-2014,0,27.76
09-02-2014,1,26.98
09-02-2014,2,26.04
09-02-2014,3,25.85
09-02-2014,4,25.94
09-02-2014,5,26.0
09-02-2014,6,26.9
09-02-2014,7,26.73
09-02-2014,8,27.0
09-02-2014,9,28.05
09-02-2014,10,28.54
09-02-2014,11,28.72
09-02-2014,12,28.55
09-02-2014,13,28.22
09-02-2014,14,28.06
09-02-2014,15,28.37
09-02-2014,16,29.16
09-02-2014,17,30.97
09-02-2014,18,31.33
09-02-2014,19,31.11
09-02-2014,20,30.49
09-02-2014,21,29.28
09-02-2014,22,29.01
09-02-2014,23,26.93
10-02-2014,0,26.54
10-02-2014,1,26.37
10-02-2014,2,25.99
10-02-2014,3,26.02
10-02-2014,4,26.78
10-02-2014,5,29.6
10-02-2014,6,31.62
10-02-2014,7,32.43
10-02-2014,8,32.79
10-02-2014,9,32.45
10-02-2014,10,32.69
10-02-2014,11,32.4
10-02-2014,12,32.61
10-02-2014,13,32.47
10-02-2014,14,32.6
10-02-2014,15,32.88
10-02-2014,16,33.26
10-02-2014,17,34.6
10-02-2014,18,33.8
10-02-2014,19,32.91
10-02-2014,20,32.31
10-02-2014,21,31.87
10-02-2014,22,31.06
10-02-2014,23,29.91
11-02-2014,0,30.07
11-02-2014,1,29.9
11-02-2014,2,29.45
11-02-2014,3,28.27
11-02-2014,4,28.64
11-02-2014,5,30.48
11-02-2014,6,32.28
11-02-2014,7,33.61
11-02-2014,8,34.26
11-02-2014,9,33.69
11-02-2014,10,34.25
11-02-2014,11,33.69
11-02-2014,12,32.61
11-02-2014,13,32.17
11-02-2014,14,32.31
11-02-2014,15,32.82
11-02-2014,16,33.24
11-02-2014,17,34.49
11-02-2014,18,33.62
11-02-2014,19,32.68
11-02-2014,20,32.02
11-02-2014,21,30.85
11-02-2014,22,29.98
11-02-2014,23,28.66
12-02-2014,0,28.26
12-02-2014,1,27.9
12-02-2014,2,28.08
12-02-2014,3,28.32
12-02-2014,4,29.38
12-02-2014,5,30.63
12-02-2014,6,32.3
12-02-2014,7,33.39
12-02-2014,8,34.06
12-02-2014,9,34.01
12-02-2014,10,33.81
12-02-2014,11,32.68
12-02-2014,12,32.28
12-02-2014,13,31.92
12-02-2014,14,32.22
12-02-2014,15,32.42
12-02-2014,16,32.86
12-02-2014,17,33.95
12-02-2014,18,33.33
12-02-2014,19,32.54
12-02-2014,20,31.76
12-02-2014,21,30.52
12-02-2014,22,29.41
12-02-2014,23,28.06
13-02-2014,0,27.88
13-02-2014,1,27.48
13-02-2014,2,27.38
13-02-2014,3,27.04
13-02-2014,4,27.85
13-02-2014,5,29.03
13-02-2014,6,30.98
13-02-2014,7,32.31
13-02-2014,8,32.38
13-02-2014,9,32.44
13-02-2014,10,32.28
13-02-2014,11,31.98
13-02-2014,12,31.91
13-02-2014,13,32.07
13-02-2014,14,32.1
13-02-2014,15,32.24
13-02-2014,16,32.46
13-02-2014,17,33.18
13-02-2014,18,32.95
13-02-2014,19,32.58
13-02-2014,20,32.29
13-02-2014,21,31.83
13-02-2014,22,31.21
13-02-2014,23,30.08
14-02-2014,0,28.89
14-02-2014,1,27.98
14-02-2014,2,27.8
14-02-2014,3,27.87
14-02-2014,4,28.45
14-02-2014,5,30.56
14-02-2014,6,32.31
14-02-2014,7,33.29
14-02-2014,8,33.51
14-02-2014,9,33.19
14-02-2014,10,32.07
14-02-2014,11,31.99
14-02-2014,12,31.48
14-02-2014,13,31.48
14-02-2014,14,31.65
14-02-2014,15,31.87
